Metric,Rank,Variant,Mean,Std
Waiting Time,1,RF1,62.74,25.19
Waiting Time,2,RF3,68.78,17.86
Waiting Time,3,RF4,84.3,19.04
Queue Length,1,RF1,4.02,1.57
Queue Length,2,RF3,4.03,1.28
Queue Length,3,RF4,5.24,1.52
Avg Speed,1,RF2,22.8,0.82
Avg Speed,2,RF3,22.76,0.64
Avg Speed,3,RF0,22.57,0.94
Travel Time,1,RF0,210.98,22.03
Travel Time,2,RF2,217.1,15.37
Travel Time,3,RF1,218.56,20.14
Stopped Vehicles,1,RF1,68.27,26.74
Stopped Vehicles,2,RF3,68.48,21.75
Stopped Vehicles,3,RF4,89.05,25.86
